Monica,RB/Soul
Montgomery Gentry,Country
Mötley Crüe,Rock
Muse,Rock
Musiq Soulchild,RB/Soul
My Chemical Romance,Rock
Nas,Rap/Hip Hop
Natalie Merchant,Country
Natasha Bedingfield,Pop
Ne-Yo,Pop
Neil Diamond,Pop
Neil Young,Country
Nelly,Rap/Hip Hop
Nelly Furtado,Pop
New Boyz,Pop
Nickelback,Rock
Nicki Minaj,Rap/Hip Hop
Nina Simone,Country
Nine Inch Nails,Rock
Nirvana,Rap/Hip Hop
Nitty Gritty Dirt Band,Country
Norah Jones,alternative/indie rock
O.A.R.,Rock
Oasis,Rock
OK Go,alternative/indie rock
Old Crow Medicine Show,Country
Omarion,RB/Soul
One Direction,Pop
OneRepublic,Rock
OutKast,Rap/Hip Hop
Owl City,Pop
P!nk,Pop
Panic! At the Disco,Rock
Paramore,Pop
Pat Green,Country
Patty Griffin,Country
Paul Simon,RB/Soul
Pearl Jam,alternative/indie rock
Peter Frampton,Country
Phil Collins,Pop
Phil Vassar,Country
Phillip Phillips,Pop
Phoenix,Rock
Pink Floyd,Rock
Pistol Annies,Country
Pitbull,Pop
Plain White T's,Pop
Plies,Rap/Hip Hop
Poison,Rock
Power Music Workout,RB/Soul
Pretty Ricky,RB/Soul
Prince,Pop
Prince & The Revolution,RB/Soul
PSY,Pop
Queen,Rock
R. Kelly,Rap/Hip Hop
R.E.M.,alternative/indie rock
Radiohead,Rock
Rage Against the Machine,alternative/indie rock
Randy Houser,Country
Randy Rogers Band,Country
Randy Travis,Country
Rascal Flatts,Country
Ray J,RB/Soul
Ray LaMontagne,Rock
Reba McEntire,Country
Red Hot Chili Peppers,Rock
Rehab,Rap/Hip Hop
Rick James,RB/Soul
Rick Ross,Rap/Hip Hop
Ricky Martin,Rap/Hip Hop
Rihanna,Pop
Rise Against,Rock
Rob Thomas,Rock
Robert Earl Keen,Country
Robin Thicke,RB/Soul
Robyn Hitchcock,alternative/indie rock
Rod Stewart,Pop
Rodney Atkins,Country
Roy Orbison,Country
Rufus Wainwright,alternative/indie rock
Run-DMC,Rap/Hip Hop
Rush,Rap/Hip Hop
Ryan Adams,Country
Sade,RB/Soul
Salt-n-Pepa,Rap/Hip Hop
Sam Cooke,RB/Soul
Sam Palladio,Country
Santana,Rock
Sara Bareilles,Pop
Sara Evans,Country
Sarah McLachlan,alternative/indie rock
Scotty McCreery,Country
Seal,RB/Soul
Sean Kingston,Pop
Sean Paul,Rap/Hip Hop
Seether,Pop
